"","sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map00360..Phenylalanine.metabolism","map00360..Phenylalanine.metabolism","35","40","26","29","35","24","28","14","31","24","36","23","31","19","31"
"map00361..Chlorocyclohexane.and.chlorobenzene.degradation","map00361..Chlorocyclohexane.and.chlorobenzene.degradation","4","1","2","0","3","1","0","0","5","1","1","3","3","1","2"
"map00362..Benzoate.degradation","map00362..Benzoate.degradation","30","38","25","28","32","23","23","24","33","29","32","35","29","24","40"
"map00364..Fluorobenzoate.degradation","map00364..Fluorobenzoate.degradation","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0"
"map00380..Tryptophan.metabolism","map00380..Tryptophan.metabolism","80","84","79","69","82","61","76","59","96","89","77","71","62","81","90"
"map00400..Phenylalanine..tyrosine.and.tryptophan.biosynthesis","map00400..Phenylalanine..tyrosine.and.tryptophan.biosynthesis","67","67","14","24","58","10","14","11","13","10","21"," 9"," 9","10","13"
"map00401..Novobiocin.biosynthesis","map00401..Novobiocin.biosynthesis","13","12"," 3"," 4"," 6"," 1"," 6"," 3"," 4"," 3"," 5"," 0"," 3"," 2"," 4"
"map00404..Staurosporine.biosynthesis","map00404..Staurosporine.biosynthesis","0","1","1","0","0","0","1","1","0","1","1","0","0","2","0"
"map00405..Phenazine.biosynthesis","map00405..Phenazine.biosynthesis","6","6","3","3","5","1","1","0","3","4","1","1","1","1","0"
"map00410..beta.Alanine.metabolism","map00410..beta.Alanine.metabolism","51","48","37","43","53","48","49","35","59","49","48","45","32","43","51"
"map00430..Taurine.and.hypotaurine.metabolism","map00430..Taurine.and.hypotaurine.metabolism"," 4","16"," 2"," 5","21"," 2"," 0"," 1"," 3"," 5"," 1"," 2"," 1"," 3"," 1"
"map00440..Phosphonate.and.phosphinate.metabolism","map00440..Phosphonate.and.phosphinate.metabolism","10"," 9"," 5"," 2"," 8","10"," 7"," 4"," 3"," 4"," 4"," 4"," 5"," 7"," 4"
"map00450..Selenocompound.metabolism","map00450..Selenocompound.metabolism","46","59","17","19","61","21"," 8","14","19","13","17","20","13"," 9","17"
"map00460..Cyanoamino.acid.metabolism","map00460..Cyanoamino.acid.metabolism","27","26","16","14","33"," 8"," 7","12","14","13","11","15"," 7","15","14"
