"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"creatinine","57.98418","39.72648","47.64420","39.04699","55.46952","37.99757","42.18908","23.38771","38.54741","35.77072","30.11875","48.26077","40.23613","43.66471","52.34272"
"3-hydroxy-3-methyl-glutaric acid","0.6390837","0.5678380","0.6990724","0.9577059","0.4226123","0.5878071","0.3988934","0.2836838","0.4123992","0.0000000","0.2751085","0.4769377","0.4212571","0.3195917","0.3704880"
"9s,11r-dihydroxy-15-oxo-5z,13e-prostadienoic acid","1.9889557","1.2380400","1.0792787","1.9304925","0.4222508","1.3929347","0.4076580","0.3301056","0.5252313","0.3232526","0.4825884","0.9770730","0.2314525","0.3757734","0.6150531"
"aconitic acid","3.770429","3.527498","2.710277","3.409321","3.871290","2.506043","4.079237","1.955029","4.221521","3.032239","2.687822","4.474112","3.644174","3.069272","4.384358"
"l-arginine"," 7.911962"," 8.095832"," 8.067741"," 8.091059","10.392970"," 4.601516"," 7.312865"," 4.134421"," 7.240897"," 8.130298"," 7.409850"," 7.820840"," 7.663334"," 7.096300"," 8.341269"
"oxalic acid","10.646179","11.711157","12.469458"," 0.000000"," 8.512702"," 0.000000"," 0.000000"," 0.000000","11.253044"," 0.000000"," 0.000000","14.787497"," 0.000000","11.454821"," 0.000000"
"d-fructose","0.7960351","0.9546936","0.9375014","0.6648457","1.2592057","0.7429832","1.1129062","1.0659350","1.2445334","0.7132620","0.9966457","1.3344019","0.9131102","1.0134016","1.4390225"
"stearidonic acid","0.4346180","0.4468213","0.0000000","0.4991984","0.4332477","0.4221401","0.0000000","0.3341457","0.3316754","0.0000000","0.3748662","0.0000000","0.0000000","0.3352527","0.3984377"
"4-imidazoleacrylic acid","0.5173628","0.2468379","0.5187425","0.6045210","0.3930618","0.2787040","0.6111275","0.7415372","1.6232108","2.6055323","0.9784411","0.4876254","0.4168566","0.2675429","0.8637182"
"l-pipecolic acid","0.8296235","0.9150123","0.9338969","0.7981749","1.4095385","0.7921153","0.5584440","0.4610596","0.7084382","0.4638608","0.5097155","0.8778012","0.5432959","0.6483823","1.1999951"
"dl-2,3-diaminopropionic acid","0.3708605","0.3983253","0.3882466","0.4555428","0.5434070","0.3527851","0.3872919","0.3371327","0.4414760","0.4630831","0.3380357","0.4024253","0.3234746","0.2749912","0.5177131"
"serotonin","0.00000000","0.00000000","0.00000000","0.00000000","0.20135374","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.03477230","0.03656445","0.03365304","0.00000000","0.08065865"
"glutathione, oxidized","4.148947","6.259594","8.126580","5.367708","5.064496","6.560316","6.768084","3.557005","5.996327","4.370355","3.939534","5.738714","6.734823","8.041922","5.604716"
"l-carnosine","0.29096858","0.10140032","0.12099064","0.10090726","0.13961257","0.07501799","0.17132133","0.09181065","0.17074546","0.14915320","0.11049421","0.12984020","0.14884013","0.13549428","0.16679625"
"xanthosine","0.08774868","0.17716071","0.13932661","0.03567520","0.61240558","0.14593449","0.44762040","0.27942966","0.32253856","0.32039576","0.22830623","0.58517153","0.27019247","0.32678684","0.64068016"
"purine","0.06392582","0.21781292","0.12505167","0.00000000","0.34765276","0.15089421","0.35415113","0.22103209","0.47798641","0.21869391","0.17348579","0.43872947","0.40061134","0.41025882","0.34455528"
"n-acetyl-a-neuraminic acid","0.5754370","0.5635654","0.6593933","1.0202701","0.7854678","0.5615835","0.7417363","0.4867485","1.1995807","0.3859750","0.4054898","0.8384200","0.4357345","0.6641084","1.3550413"
"9(s)-hode","1.7728095","1.5510437","1.2835501","1.9618626","1.0648800","1.5464337","0.9458318","1.0116223","1.2475544","0.8020480","1.7063756","1.1831045","0.8913440","1.3575614","1.2278153"
"vaccenic acid","5.614337","2.006811","2.254130","6.374725","1.060824","2.124962","0.000000","2.306742","0.000000","0.000000","1.429789","0.000000","1.251804","1.582729","1.427402"
"9(z),11(e)-conjugated linoleic acid","2.2289043","2.8715356","1.2972572","2.9998091","3.8432899","1.3698619","1.0549352","1.3771523","0.9115007","0.9532168","2.2241764","1.8984496","1.0953800","0.7270583","3.6945675"
"l-glutamic acid","129.52808","115.12864","132.61011","144.31821"," 88.39843"," 92.63314","105.53136"," 68.88930","109.35608"," 75.09052"," 72.88395","113.79348"," 71.43944"," 90.67419"," 96.31112"
"dimethylglycine","7.821769","7.125180","7.122265","8.872774","6.276463","6.607537","6.567764","4.816316","6.527307","5.629642","5.402600","7.252694","5.317186","5.603504","6.838380"
"ellipticine","0.15893814","0.15951716","0.12114963","0.11825921","0.14934307","0.06481865","0.21595083","0.12342898","0.19170211","0.12383248","0.08400308","0.20110591","0.14742187","0.10878267","0.12434600"
