taxa	LA-MOC-Lung-1_S1_L001	LA-MOC-Lung-1_S1_L002	LA-MOC-Lung-2_S2_L001	LA-MOC-Lung-2_S2_L002	LA-MOC-Lung-3_S3_L001	LA-MOC-Lung-3_S3_L002	LA-MOC-Lung-4_S4_L001	LA-MOC-Lung-4_S4_L002	LA-MOC-Lung-5_S5_L001	LA-MOC-Lung-5_S5_L002	LA-MOC-Tongue-1_S16_L001	LA-MOC-Tongue-1_S16_L002	LA-MOC-Tongue-2_S17_L001	LA-MOC-Tongue-2_S17_L002	LA-MOC-Tongue-3_S18_L001	LA-MOC-Tongue-3_S18_L002	LA-MOC-Tongue-4_S19_L001	LA-MOC-Tongue-4_S19_L002	LA-MOC-Tongue-5_S20_L001	LA-MOC-Tongue-5_S20_L002	PBS-Lung-1_S6_L001	PBS-Lung-1_S6_L002	PBS-Lung-2_S7_L001	PBS-Lung-2_S7_L002	PBS-Lung-3_S8_L001	PBS-Lung-3_S8_L002	PBS-Lung-4_S9_L001	PBS-Lung-4_S9_L002	PBS-Lung-5_S10_L001	PBS-Lung-5_S10_L002	PBS-Tongue-1_S21_L001	PBS-Tongue-1_S21_L002	PBS-Tongue-2_S22_L001	PBS-Tongue-2_S22_L002	PBS-Tongue-3_S23_L001	PBS-Tongue-3_S23_L002	PBS-Tongue-4_S24_L001	PBS-Tongue-4_S24_L002	PBS-Tongue-5_S25_L001	PBS-Tongue-5_S25_L002	pm-1-24hr_S35_L001	pm-1-24hr_S35_L002	pm-2-24hr_S36_L001	pm-2-24hr_S36_L002	pm-over-s-24hr_S51_L001	pm-over-s-24hr_S51_L002	pm-over-vp-24hr_S46_L001	pm-over-vp-24hr_S46_L002	pm-split-s-24hr_S48_L001	pm-split-s-24hr_S48_L002	pm-split-vp-24hr_S43_L001	pm-split-vp-24hr_S43_L002	s-1-24hr_S31_L001	s-1-24hr_S31_L002	s-2-24hr_S32_L001	s-2-24hr_S32_L002	s-mid-over-pm-24hr_S50_L001	s-mid-over-pm-24hr_S50_L002	s-over-pm-24hr_S49_L001	s-over-pm-24hr_S49_L002	s-over-vp-24hr_S41_L001	s-over-vp-24hr_S41_L002	s-split-pm-24hr_S47_L001	s-split-pm-24hr_S47_L002	s-split-vp-24hr_S38_L001	s-split-vp-24hr_S38_L002	UA-MOC-Lung-1_S11_L001	UA-MOC-Lung-1_S11_L002	UA-MOC-Lung-2_S12_L001	UA-MOC-Lung-2_S12_L002	UA-MOC-Lung-3_S13_L001	UA-MOC-Lung-3_S13_L002	UA-MOC-Lung-4_S14_L001	UA-MOC-Lung-4_S14_L002	UA-MOC-Lung-5_S15_L001	UA-MOC-Lung-5_S15_L002	UA-MOC-Tongue-1_S26_L001	UA-MOC-Tongue-1_S26_L002	UA-MOC-Tongue-2_S27_L001	UA-MOC-Tongue-2_S27_L002	UA-MOC-Tongue-3_S28_L001	UA-MOC-Tongue-3_S28_L002	UA-MOC-Tongue-4_S29_L001	UA-MOC-Tongue-4_S29_L002	UA-MOC-Tongue-5_S30_L001	UA-MOC-Tongue-5_S30_L002	vp-1-24hr_S33_L001	vp-1-24hr_S33_L002	vp-2-24hr_S34_L001	vp-2-24hr_S34_L002	vp-mid-over-pm-24hr_S45_L001	vp-mid-over-pm-24hr_S45_L002	vp-mid-over-s-24hr_S40_L001	vp-mid-over-s-24hr_S40_L002	vp-over-pm-24hr_S44_L001	vp-over-pm-24hr_S44_L002	vp-over-s-24hr_S39_L001	vp-over-s-24hr_S39_L002	vp-split-pm-24hr_S42_L001	vp-split-pm-24hr_S42_L002	vp-split-s-24hr_S37_L001	vp-split-s-24hr_S37_L002
Salegentibacter sp. T436	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sinorhizobium fredii	1	1	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	3	0	1	0	1	1	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	1	1	2	0	1	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sinorhizobium meliloti	16	11	4	2	6	3	6	11	12	12	1	10	7	7	5	1	4	1	3	5	9	7	21	8	9	10	20	31	33	29	4	17	1	4	5	2	1	4	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	26	24	23	25	11	14	22	23	16	11	6	11	8	5	4	18	2	4	3	9	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Rhizobium leguminosarum	99	91	12	25	51	39	50	77	67	86	12	12	20	16	12	11	13	11	9	17	38	42	60	63	41	37	136	153	123	137	24	25	26	27	8	6	6	13	31	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	80	106	107	75	77	89	77	57	49	30	35	17	11	20	19	15	13	12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antarctobacter heliothermus	3	2	0	0	2	0	1	2	1	2	54	56	120	95	70	58	139	137	109	98	2	2	0	2	2	0	3	8	2	5	57	41	114	127	50	65	43	58	79	94	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	6	3	2	2	4	1	1	206	226	90	60	122	122	67	71	56	46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella parvula	256	297	45	39	6	2	220	259	1330	1309	6	4	0	2	0	1	7	11	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	18	10	8	77	80	22	19	26768	26958	13	14	1	1	4456	4449	6803	6797	1271	1246	6162	6216	22992	22858	11447	11374	19933	20124	4	2	0	0	3	7	5	2	0	0	0	1	8	5	10	5	0	1	3	0	1063832	1072495	1157379	1168397	190064	192210	381414	385514	898109	906223	1398736	1418268	939927	939325	834660	840645
Bosea vaviloviae	1	0	0	0	0	0	0	0	0	0	20	0	4	12	9	8	0	0	8	19	0	0	0	2	0	0	0	2	0	1	4	0	3	4	8	0	8	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	10	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phytobacter ursingii	2	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	6	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	0	3	0	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Theileria equi	2	2	0	1	6	5	6	3	4	4	14	9	12	12	8	5	7	12	7	8	1	2	4	2	1	4	15	9	11	12	5	10	10	15	5	6	2	5	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	8	10	4	3	1	6	4	6	12	16	3	6	15	10	4	7	2	7	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Xanthomonas sacchari	3	12	0	0	1	1	1	2	4	3	0	0	1	0	0	2	2	1	2	1	0	1	2	2	0	0	3	3	4	4	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	4	4	8	1	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Theileria annulata	2	6	0	0	0	2	2	4	3	2	7	7	7	5	5	9	6	6	9	5	1	1	2	3	3	3	8	3	6	4	9	10	9	10	2	4	5	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	4	5	4	1	3	3	3	2	7	4	6	5	10	10	2	6	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Theileria parva	10	3	3	1	6	3	5	3	6	8	11	7	8	16	9	5	11	12	7	10	1	2	5	4	4	6	20	16	11	12	17	9	10	14	10	3	7	4	15	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	10	9	4	5	7	7	6	6	17	9	15	7	16	9	5	10	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xanthomonas hortorum	3	3	0	1	5	0	1	3	7	1	1	3	11	9	26	16	4	3	4	1	12	4	6	3	6	5	6	14	8	6	38	22	13	18	2	3	7	4	12	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	7	9	7	1	4	5	5	5	2	6	9	5	4	14	22	10	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Croceicoccus sp. Ery5	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microcoleus vaginatus	1	0	0	0	0	0	0	0	2	1	86	73	230	199	151	143	181	177	169	160	1	1	3	1	5	1	5	1	1	4	102	102	222	224	120	124	82	85	139	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	338	358	132	109	178	186	93	104	118	88	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mannheimia haemolytica	2	4	0	0	0	0	1	0	5	6	3	0	15	21	11	11	10	12	1	5	1	0	0	0	0	0	4	6	6	5	35	46	0	42	13	13	3	6	23	24	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	3	0	3	2	1	0	5	21	6	15	13	10	11	30	13	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium gleum	3	0	0	0	0	1	1	0	3	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	7	2	5	1	0	1	4	1	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	1	0	0	0	1	0	0	4	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudonocardia dioxanivorans	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	2	0	0	0	0	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nocardioides sp. dk884	1	0	0	0	2	0	0	1	1	0	1	5	4	2	1	1	0	1	2	2	0	1	0	0	0	0	0	1	0	2	0	2	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	5	0	0	1	6	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirosoma sp. CJU-R4	1	0	0	0	0	0	1	3	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4	2	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Duganella sp. GN2-R2	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	1	1	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquibium microcysteis	2	1	2	0	0	1	2	3	6	3	7	6	5	4	4	8	1	10	3	5	3	1	2	2	2	3	2	4	5	1	5	4	8	6	4	10	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2	4	3	3	4	3	3	0	3	3	1	5	7	4	6	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella krasnovii	100	91	14	17	99546	99622	66	45	5	7	111	100	193	196	516	485	9	4	29	15	15	12	11	7	14319	14179	69	70	212	183	50	47	58	71	71	57	7	6	94	109	5	0	7	16	8	9	23	19	10	6	3	1	107	133	71	71	27	12	2	0	23	24	39	44	29	26	10	19	41127	40605	56	40	34	26	23	27	60	42	9	12	97	76	27	26	26	28	4648	4512	73	71	52	41	25	33	8	4	127	145	21	19	29	29
Flavobacterium crocinum	1	0	2	0	1	0	5	1	2	2	0	4	1	0	0	4	3	0	0	3	1	0	0	1	0	1	3	3	5	3	1	3	6	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	3	1	2	1	1	0	1	2	4	0	1	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermococcus radiotolerans	3	0	1	0	1	0	2	2	3	0	0	0	0	0	9	0	2	0	0	2	3	2	8	3	9	3	10	12	14	18	2	3	5	9	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	4	14	2	2	12	17	2	8	5	0	2	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nonlabens sp. Ci31	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treponema succinifaciens	3	0	0	0	0	2	0	1	1	0	3	4	2	2	1	3	0	2	0	5	2	0	4	2	3	4	14	12	7	10	12	10	1	3	3	2	4	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	7	3	7	3	3	3	3	3	6	1	4	15	10	0	0	3	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Corynebacterium silvaticum	1	2	2	0	1	0	3	1	0	0	0	1	3	2	0	0	0	0	0	2	0	0	0	2	1	1	3	4	0	2	0	0	0	2	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	1	0	0	1	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phycomyces blakesleeanus	17	13	3	1	6	3	11	16	20	18	16	11	26	27	16	10	25	22	8	16	8	8	19	11	10	6	24	42	30	22	22	11	23	30	10	8	9	9	19	21	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	18	25	24	9	12	15	14	12	12	22	29	17	21	15	20	3	13	7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus sp. 1NLA3E	1	0	0	0	0	1	2	0	2	0	0	4	2	1	0	0	0	0	2	0	0	2	0	1	3	2	4	1	1	1	1	1	3	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	3	2	1	1	0	2	4	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polynucleobacter sp. MG-Unter2-18	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthamoeba culbertsoni	19	38	7	5	17	26	38	29	30	43	277	264	348	398	232	272	330	361	349	380	26	31	31	45	30	22	85	119	84	95	211	244	401	473	179	202	204	164	277	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	71	82	71	39	38	56	66	48	48	710	685	278	275	353	314	227	226	206	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Streptomyces vietnamensis	3	11	4	0	8	1	4	2	5	12	9	1	12	11	5	3	3	5	7	7	1	3	5	6	2	1	14	15	13	11	3	9	8	3	5	2	5	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	8	9	7	5	9	8	7	3	5	10	9	4	15	17	4	6	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Encephalitozoon intestinalis	1	0	0	0	0	0	0	1	1	4	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dickeya zeae	2	1	0	0	0	2	1	2	3	2	1	0	2	2	3	2	1	0	0	1	2	0	3	3	2	0	4	2	6	0	1	1	1	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	4	2	3	0	3	1	2	3	4	0	1	0	1	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chroococcidiopsis sp. CCMEE 29	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Puccinia graminis	16	10	3	4	8	11	16	14	20	28	61	77	78	95	58	51	106	101	80	90	10	9	16	23	7	14	37	39	44	33	75	67	163	156	56	58	51	45	100	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	29	30	27	20	16	28	17	18	11	217	192	76	79	108	119	60	82	51	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entamoeba dispar	7	5	5	0	4	8	7	16	11	4	22	16	21	18	29	24	11	12	17	40	3	10	12	11	5	3	21	20	14	21	11	18	55	12	14	14	17	13	34	19	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	19	23	16	13	7	11	4	2	9	6	62	33	8	13	32	40	24	7	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kluyvera genomosp. 3	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nosema bombycis	3	4	0	6	0	8	0	0	7	7	3	16	1	1	0	7	1	0	2	2	0	2	15	2	2	7	1	2	11	3	11	14	0	8	2	10	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	5	3	3	1	3	0	0	6	11	0	6	24	9	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas psychrotolerans	1	3	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synechococcus sp. HK01-R	50	66	20	14	35	64	41	32	78	63	75	83	147	183	86	86	92	116	89	106	27	22	42	38	46	45	158	154	150	135	78	70	166	143	43	53	53	45	94	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	98	105	103	61	43	66	72	68	61	216	177	103	98	123	124	80	78	61	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Encephalitozoon hellem	13	11	16	4	12	13	11	9	33	20	20	14	20	36	11	14	15	9	23	28	14	13	16	26	22	22	47	50	66	54	25	27	12	17	18	18	16	13	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	26	36	31	20	16	44	38	12	22	40	38	15	23	19	17	18	14	23	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus aculeatus	14	15	8	12	10	11	19	16	14	19	16	31	33	26	24	17	23	21	26	18	11	7	22	18	14	6	35	39	50	57	29	28	23	22	12	22	21	14	29	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	26	31	34	24	20	48	26	29	28	75	65	30	32	31	36	20	26	24	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidithiobacillus caldus	1	5	4	0	7	6	4	4	3	7	3	1	7	8	10	4	7	3	2	4	1	3	3	3	1	2	7	12	13	4	5	5	7	5	3	0	2	7	12	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	6	6	2	4	4	3	1	3	7	5	3	5	3	12	4	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus sp. JNUCC-31	2	1	0	0	5	2	0	0	0	1	2	1	5	2	0	1	0	2	0	1	0	1	0	1	0	0	3	1	0	0	7	5	0	0	0	2	0	3	1	4	0	1	0	0	0	1	1	2	0	0	0	0	2	3	2	2	0	2	6	1	2	7	0	0	3	0	0	2	0	0	1	0	0	1	0	0	1	1	1	3	0	1	3	2	1	0	1	1	8	2	0	0	3	0	0	3	6	7	2	0	1	0
Thermomonas sp. HDW16	25	22	5	6	17	15	14	16	23	22	207	240	414	421	218	233	466	467	331	370	7	11	15	13	26	22	42	53	39	35	204	192	417	385	206	173	133	157	284	324	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	25	22	25	22	26	31	37	20	18	19	615	701	238	225	348	348	220	217	174	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. C8S0	2	2	1	0	0	1	3	1	1	1	1	3	2	3	6	0	2	2	3	0	3	2	2	2	0	2	7	11	5	5	1	4	6	2	0	1	4	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	6	2	1	1	4	2	3	4	5	3	2	4	1	3	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas sp. HDW15A	25	24	4	10	18	19	17	10	15	28	176	190	302	274	152	147	279	265	248	242	20	16	14	41	17	9	51	70	51	53	125	150	205	192	120	92	97	123	188	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	41	46	52	18	38	33	27	16	13	385	413	152	152	284	264	134	157	89	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga sp. XS-30	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	0	4	6	3	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	0	3	2	1	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavivirga eckloniae	2	4	0	0	2	1	3	6	4	3	25	32	45	44	10	26	48	38	29	20	1	0	4	3	1	3	10	11	5	7	28	14	29	29	7	10	19	16	26	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	2	10	4	0	3	3	2	3	32	33	25	17	16	18	23	21	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces griseorubiginosus	2	1	2	0	1	0	1	1	1	4	2	1	5	3	0	3	1	2	2	3	3	1	2	4	1	0	3	8	5	6	2	3	2	2	1	2	2	3	7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	5	3	1	3	5	1	1	5	2	2	2	2	3	2	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermococcus sp. AM4	2	1	0	1	1	2	1	1	1	3	1	1	8	3	0	5	2	0	9	5	0	1	1	2	0	1	4	6	1	1	7	2	2	0	2	6	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	1	0	1	2	0	2	3	2	4	0	5	2	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Echinicola vietnamensis	13	4	1	1	8	7	3	6	4	9	19	22	62	48	31	34	49	35	45	43	5	5	6	7	3	7	13	12	11	18	37	26	53	51	17	20	12	25	46	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	9	15	7	4	11	7	11	6	57	54	27	23	55	58	28	31	25	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Novosphingobium sp. ES2-1	1	0	0	0	0	0	0	0	0	0	2	3	0	0	4	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	2	6	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
