"","sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map00010..Glycolysis...Gluconeogenesis","map00010..Glycolysis...Gluconeogenesis","16887"," 4389","14427","12383","18393","11189","16714","14188","46762","40290","28687","32318","19664","24812","18477"
"map00020..Citrate.cycle..TCA.cycle.","map00020..Citrate.cycle..TCA.cycle."," 9159"," 2293"," 6281"," 6368"," 9379"," 5719"," 8797"," 7554","23575","20172","15227","16664","10201","12081"," 9327"
"map00030..Pentose.phosphate.pathway","map00030..Pentose.phosphate.pathway"," 5278"," 1360"," 4148"," 3852"," 5582"," 2973"," 4317"," 3502","13106","10236"," 7780"," 8249"," 5990"," 6053"," 4754"
"map00040..Pentose.and.glucuronate.interconversions","map00040..Pentose.and.glucuronate.interconversions","2260"," 863","2427","1805","3320","2807","3613","2852","8798","7524","5940","6215","2359","4650","3310"
"map00051..Fructose.and.mannose.metabolism","map00051..Fructose.and.mannose.metabolism","2120"," 628","1836","1787","2577","1761","2348","1933","6039","5329","3913","4074","2320","3162","2265"
"map00052..Galactose.metabolism","map00052..Galactose.metabolism","1407"," 330","1009","1110","1602"," 795","1339"," 964","3545","3096","2348","2454","1444","1850","1448"
"map00053..Ascorbate.and.aldarate.metabolism","map00053..Ascorbate.and.aldarate.metabolism"," 5076"," 1417"," 5058"," 3715"," 7202"," 4663"," 7031"," 5468","19454","17519","11634","14078"," 5483","11175"," 8063"
"map00061..Fatty.acid.biosynthesis","map00061..Fatty.acid.biosynthesis"," 910"," 233"," 741"," 706","1046"," 685"," 989"," 821","2568","2225","1760","1964","1006","1609","1169"
"map00062..Fatty.acid.elongation","map00062..Fatty.acid.elongation"," 466"," 118"," 421"," 328"," 463"," 315"," 503"," 387","1276","1046"," 838"," 856"," 477"," 638"," 473"
"map00071..Fatty.acid.degradation","map00071..Fatty.acid.degradation"," 7821"," 2257"," 7820"," 5933","10371"," 6701","10043"," 8027","27036","24207","17133","19727"," 8616","15404","11314"
