"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map00604..Glycosphingolipid.biosynthesis...ganglio.series","115"," 33"," 90","104"," 83"," 74"," 97"," 82","316","250","231","213","144","162","115"
"map00620..Pyruvate.metabolism"," 8615"," 2247"," 7678"," 6312","11055"," 6955","10488"," 8629","28689","25290","17583","20591"," 9452","15717","11682"
"map00621..Dioxin.degradation","2","0","0","1","1","1","0","0","1","1","2","0","0","1","0"
"map00622..Xylene.degradation","143"," 39","128"," 96","198","140","237","181","660","579","368","461","164","379","259"
"map00623..Toluene.degradation"," 26"," 19"," 62"," 21"," 39"," 31"," 42"," 31","104"," 82"," 94"," 79"," 42"," 76"," 60"
"map00624..Polycyclic.aromatic.hydrocarbon.degradation","1","0","0","1","1","1","0","0","0","1","2","0","0","1","0"
"map00625..Chloroalkane.and.chloroalkene.degradation"," 4704"," 1352"," 4928"," 3424"," 6865"," 4531"," 6810"," 5291","18723","17021","11429","13849"," 5142","11001"," 7890"
"map00626..Naphthalene.degradation"," 447"," 162"," 567"," 323"," 511"," 334"," 524"," 373","1348","1218","1045","1037"," 603"," 847"," 611"
"map00627..Aminobenzoate.degradation","344","143","475","305","438","273","431","407","967","904","776","719","378","600","410"
"map00630..Glyoxylate.and.dicarboxylate.metabolism"," 6361"," 1594"," 4609"," 4525"," 7274"," 4207"," 6250"," 5230","17143","14158","10821","12198"," 6306"," 8653"," 6723"
"map00633..Nitrotoluene.degradation"," 3"," 0"," 1"," 0","13"," 0"," 2"," 0"," 2"," 2"," 4"," 3"," 2"," 3"," 2"
"map00640..Propanoate.metabolism"," 3654"," 1007"," 3058"," 2722"," 4225"," 2648"," 3954"," 3232","10093"," 8766"," 6914"," 7346"," 3948"," 5509"," 4144"
"map00642..Ethylbenzene.degradation","164"," 40","139","146","189","102","170","122","464","369","281","299","188","215","172"
