"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"map00520.Amino.sugar.and.nucleotide.sugar.metabolism","    1038","   85575","     550","      79","     499","   20703","     183","     925","   84850","   35846","    3034","    1098","     450","     128","     492","     188","     153","     450","     324","      54","      70","     947","      39","     650","     505","  517977","     375","    3068","  284971","     193","  339214","     133","  423438","     268","  429982","     126","      33","    2065","    8975","    1696","     346","     141","     181","   13930","     471","     761","    1925","     245","     690","     268","    1255","   12477","     961","     471","    1574","      79","   15121","     178","   71475","     141","11133176","      92","     184","78445536","     271","     275","10018837","     145","  204229","      38"
"map00541.O.Antigen.nucleotide.sugar.biosynthesis","     431","   35693","     249","      54","     259","   10918","      72","     363","   32644","   12055","    1189","     610","     281","      53","     209","     108","      71","     247","     182","      33","      31","     341","      22","     346","     262","  172924","     233","    1410","  122741","     110","  143367","      81","  165037","     155","  173644","      52","      16","     724","    4330","     709","     156","      82","     109","    7558","     227","     439","     803","     133","     328","     157","     651","    8127","     670","     298","     487","      52","    6299","      99","   28450","      78"," 4368531","      57","      93","31794300","     172","     183"," 3661430","      93","  107727","      13"
"map00340.Histidine.metabolism","     420","   17187","     119","      20","     213","    8185","      57","     158","   14604","    5236","     616","     408","     152","      32","     179","      82","      61","     192","     132","      36","      31","     161","      31","     238","     105","  125128","     185","     676","   60571","      65","   70132","      50","   64220","     116","   61836","      38","      16","     195","    3005","     474","     114","      49","      80","    4758","     117","     368","     562","     127","     182","      77","     619","    5477","     150","     172","     154","      30","    1786","      70","   13359","      64"," 1893568","      40","      87","12541840","     110","     112"," 1231934","      63","   69190","       7"
"map00400.Phenylalanine..tyrosine.and.tryptophan.biosynthesis.","     455","   34673","     228","      23","     319","    9666","      93","     338","   41381","   15498","    1395","     543","     261","      49","     226","      93","      79","     214","     148","      37","      31","     489","      29","     325","     228","  176895","     254","    1441","  129348","     108","  166987","      58","  179128","     182","  190570","      53","      18","     820","    3805","     684","     145","      66","      94","    6372","     243","     414","     881","     139","     293","     116","     698","    6881","     560","     225","     555","      22","    6784","     120","   33848","      71"," 5717500","      38","     119","31067927","     117","     148"," 4124267","      68","  102981","       9"
"map00630.Glyoxylate.and.dicarboxylate.metabolism","    1153","   52823","     398","      77","     729","   28855","     279","     536","   42669","   13470","    2620","    1666","     617","     190","     550","     329","     265","     696","     440","     144","     121","     535","     118","     914","     357","  162426","     615","    2302","  185397","     255","  229647","     180","  223443","     453","  202466","     108","      47","     846","   10651","    1610","     464","     227","     240","   17283","     409","    1250","    1779","     389","     706","     372","    2247","   18068","    1009","     837","     585","     129","    7141","     254","   52313","     155"," 5445121","     151","     272","38120298","     316","     440"," 4371551","     214","  246579","      57"
"map00680.Methane.metabolism","     725","   49317","     314","      50","     408","   17702","     201","     584","   47650","   17114","    2022","     940","     406","      98","     311","     240","     140","     447","     243","      67","      62","     477","      59","     499","     293","  234917","     348","    2235","  180106","     181","  201538","      86","  251002","     293","  240029","     104","      26","     848","    7024","    1124","     297","     136","     144","   10312","     333","     809","    1360","     265","     546","     264","    1414","   11643","     480","     508","     703","      64","    6979","     169","   54237","      93"," 5691822","      83","     137","45784803","     215","     265"," 6100355","     111","  157908","      59"
"map01200.Carbon.metabolism","     3369","   200807","     1322","      240","     1914","    78389","      745","     2223","   186364","    66516","     7082","     4295","     1768","      447","     1624","      886","      567","     1834","     1130","      351","      261","     2226","      268","     2446","     1257","   946485","     1733","     8628","   705143","      693","   859132","      435","  1002933","     1224","   957475","      381","      127","     3715","    29409","     4879","     1183","      585","      715","    49254","     1372","     3375","     5589","     1053","     2033","      932","     5475","    51369","     3176","     2190","     2809","      308","    31458","      817","   194286","      521"," 23482910","      436","      737","181157003","      905","     1132"," 22331106","      540","   709191","      154"
"map00280.Valine..leucine.and.isoleucine.degradation.","     880","   29414","     173","      65","     577","   21317","     156","     293","   19951","    5629","    1573","    1320","     485","     120","     361","     242","     172","     496","     344","     109","      78","     396","      89","     618","     249","   86372","     497","    1378","   94564","     152","  126932","      92","  109902","     283","   78425","      78","      24","     572","    7633","    1059","     331","     163","     221","   12746","     313","     965","    1293","     314","     426","     266","    1696","   13369","     651","     596","     334","     107","    3340","     209","   28116","     126"," 2237596","     105","     197","13193553","     227","     318"," 1697556","     153","  181992","      35"
"map00900.Terpenoid.backbone.biosynthesis","     403","   26508","     167","      21","     187","    8185","      63","     306","   25941","   10095","    1069","     492","     163","      53","     166","      96","      74","     158","     133","      21","      23","     312","      28","     300","     160","  187504","     168","    1086","  100387","      57","  111202","      48","  129142","     154","  140960","      44","       8","     495","    3454","     683","     147","      47","      67","    6006","     167","     371","     694","     108","     186","     112","     615","    5603","     599","     240","     399","      57","    5723","      72","   26839","      60"," 3649521","      39","     108","27474197","     116","     125"," 3015088","      47","   78970","      27"
"map00062.Fatty.acid.elongation","  0"," 50","  0","  0","  5"," 62","  0","  0"," 13","  0","  3","  3","  0","  0","  0","  1","  0","  2","  0","  0","  2","  0","  1","  0","  0"," 47","  2","  0"," 78","  0","110","  0"," 50","  2","  8","  0","  2","  0"," 17","  1","  0","  0","  0"," 43","  2","  2","  4","  1","  0","  0","  0"," 14","  2","  1","  0","  0","  3","  0"," 16","  1","312","  1","  0","123","  0","  3"," 44","  0","220","  0"
