"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"K00927..PGK..pgk..phosphoglycerate.kinase..EC.2.7.2.3..","  128"," 1652","  179","  430","  439","  266","  278"," 2331","64949","68641","  481","  124","  187","    3","   57","   48","   15","   36","   14","    8","    5","  154","   24","   30","  409"," 4338","    7","  307","   55","   14","12774","   12","  422","    9","58236","  768","    6","  725"," 1135","    4","  485","  837","  452","  989","  160","  322","  804","   60","  107","   24","   13"," 1585","   84","   19"," 5228","   18","41156","   39"," 2822","    2"," 1191","   43","   24","12053","  475","    7"," 4427","   33","  154","    6"
"K01006..ppdK..pyruvate..orthophosphate.dikinase..EC.2.7.9.1..","    1","  473","   44","  149","  272","  480","   43","  495","17673","19996","   96","   26","   78","    1","   10","   28","   35","    4","   27","    3","    0","  266","   11","   19","   30","  616","    7","  130","   32","   17","16228","    6","  281","    7","29641","   38","    3","  377","   81","    3","  423","  185","  190","  199","   70","   14","   86","   22","   27","   13","    5","  428","  106","    5"," 2139","    2"," 4861","   37"," 1545","    0"," 2201","   13","    6","19177","  133","    4"," 5550","   16","  136","    2"
"K01007..pps..ppsA..pyruvate..water.dikinase..EC.2.7.9.2..","  116","  163","    4","  162","   15","  220","   12","   58","  870"," 4756","   10","   23","  106","    4","   10","    2","   31","    2","   20","    0","    4","    0","    0","   15","    8","  179","    2","   73","    7","    0","  252","    3","  206","    2","12145","  164","    0","  331","    0","    0","   66","   26","   35","  567","   14","  423","   31","    5","    0","    0","    0","  203","    4","    4","  258","    3"," 3943","    2","  228","    4","  107","    5","    0","  218","   10","    0","  360","    1","  282","    0"
"K01085..agp..glucose.1.phosphatase..EC.3.1.3.10.","  0","  1"," 85","  0","  0","  0"," 33"," 34","396","273","  4","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  2","  0","215","  0","  0","  0","  0"," 83","  0"," 35","  0"," 15","  4","  0","  0"," 24","  0","  0","  0","  0","  0","  1","  2"," 53","  0","  0","  0","  0","133","  0","  1"," 80","  0"," 79","  0","  0","  3"," 46","  0","  0","  0","  0","  0","150","  0","  0","  0"
"K01086..fbp.SEBP..fructose.1.6.bisphosphatase.I...sedoheptulose.1.7.bisphosphatase..EC.3.1.3.11.3.1.3.37..","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K01222..E3.2.1.86A..celF..6.phospho.beta.glucosidase..EC.3.2.1.86.."," 24","119","253"," 12"," 60"," 14","  3","287"," 74"," 47","  0","  0"," 71","  0","  0"," 10","  0","  2","  0","  2","  0","127","  0","  0","  0","130","  0"," 79","  0","  0","120","  0","292","  0","340","207","  0","  2","411","  0","  0","280","316","129","  1","349","  2","  2"," 10","  2","  1"," 54","  0","  2","  1","  0"," 55","  1","165","  2","141","  0","  0"," 79"," 20","  1"," 15","  0","514","  4"
"K01223..E3.2.1.86B..bglA..6.phospho.beta.glucosidase..EC.3.2.1.86..","   74","  548","  197","   68","   13","  369","  102","  207","10569","14415","   15","   18","   10","    0","    5","   17","   12","    8","   30","    4","    2","  270","    3","   15","   29","  264","   11","  114","    4","    0","  528","    2","  388","    4"," 9717","  224","    3","  114","  719","    4","  252","  146","  229","  214","   10","  106","   82","   10","   18","    2","    8","  153","    5","    2","  716","    4"," 7063","    1","  486","    2","  376","   10","    0","  247","    9","    0"," 1102","   25","   81","    0"
"K01568..PDC..pdc..pyruvate.decarboxylase..EC.4.1.1.1..","  0","  0","122","  0","  0","  0"," 13","  3","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6","184","  0","  0","  0","  0","  0","  1"," 34","  0"," 49"," 15","  0","  0","  0","  0","  0","124","100","  2","  4","  0","  1","  0","  4","  0","  0","279","  0","  0","  0","  0","  6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"K01596..E4.1.1.32..pckA..PCK..phosphoenolpyruvate.carboxykinase..GTP...EC.4.1.1.32..","  112","  473","  284","  161","    5","  155","   35"," 1215","33253","32567","   20","   24","    1","    4","   13","   20","   13","   22","    8","    2","    2","  150","    8","    0","   27","  188","   10","   95","   15","    7"," 9314","    5","  225","    5","31854","  181","    8","  324","  248","    2","  106","  330","   37","  510","   33","   42","  196","   50","   32","    1","   16","    8","    2","    3","  453","   16"," 3248","    8"," 6631","    7","  793","    8","    3"," 8179","   98","    0"," 1539","   17","  559","    0"
"K01610..E4.1.1.49..pckA..phosphoenolpyruvate.carboxykinase..ATP...EC.4.1.1.49..","   53","  639","  281","  336","  425","  287","  175","  331"," 6153","16955","  258","   47","  110","    4","   16","   28","   33","    7","   22","    7","    2","  318","    3","    6","   22","  429","    2","   57","   16","    2"," 5605","    4","  314","   16","16929","  212","    2","  119","  435","    6","  359","  192","  572","  477","   78","   48","   81","   18","   72","    8","    7"," 1023","   99","    8"," 3136","   13"," 7504","    6","  205","    0","  545","   14","    7"," 6911","  118","    4"," 2532","   27","  113","    0"
