"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"M00044.Tyrosine.degradation..tyrosine....homogentisate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00045.Histidine.degradation..histidine....N.formiminoglutamate....glutamate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00046.Pyrimidine.degradation..uracil....beta.alanine..thymine....3.aminoisobutanoate","  237","  467","   34","   31","  126","  160","  213","  760","31023","29289","   57","   52","   90","    9","    8","   15","    4","    5","   10","    2","    6","  114","    9","   22","   21","  539","    2","    6","   18","    0","  975","    1","    7","    5"," 5449","  223","    4","  442","  108","    5","    0","  191","  269","  123","   12","  278","  213","   25","   40","   12","    8","  277","   19","    4"," 1337","    8","13909","   16"," 2466","    0","  226","    1","    0","  789","   21","    3","  583","   12","   85","    2"
"M00047.Creatine.pathway","  106"," 1015","  532","  200","  112","  173","  155"," 1648","91592","83736","  179","  107","   90","    8","   24","   37","   15","   38","   34","    1","    0","    5","   11","   57","  254","  820","    7","   83","   24","    1"," 5334","    2","  196","    1","25779","  302","   16","  768","  418","    7","  114","  560","  381","  312","   72","  249","  721","   77","   86","   11","   15","  935","   92","   20"," 5729","   26","34707","   29"," 8987","   11","  899","   21","    8"," 4209","  453","    2"," 1062","   39","  315","    1"
"M00048.De.novo.purine.biosynthesis..PRPP...glutamine....IMP","    2","  298","   56","    3","    0","    0","   11","   43","16348","16191","   32","   11","    0","    0","    6","   20","    2","    0","    0","    1","    0","    0","    3","    2","   85","  788","    2","   37","    4","    0","  504","    0","   21","    2"," 9392","    0","    4","  157","    0","    0","    5","   81","    4","  189","   16","    9","   64","   23","   20","    4","    5","    8","    6","    0"," 1028","    5"," 4803","    4","  537","    2","   82","    4","    2","  323","  212","    0","  216","    6","    1","    0"
"M00049.Adenine.ribonucleotide.biosynthesis..IMP....ADP.ATP","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 14","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 56","  0","  0","  1","  0","  0","  0"," 61","  0","125","  0","  0","  0","  0","  0","  0"," 70","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2"," 49","  0","237","  0"," 61","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"M00050.Guanine.ribonucleotide.biosynthesis..IMP....GDP.GTP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00051.De.novo.pyrimidine.biosynthesis..glutamine....PRPP.....UMP","   64","  156","  177","  366","  414","  824","  103","  250"," 8527","10338","   23","   21","  105","    3","   16","    0","    0","    6","   13","    4","    2","   52","    8","   34","    5"," 1517","   11","   19","   10","    0"," 2759","    0","  335","    0"," 5951","  205","    0","   84","  767","    5","  364","  352","  229","  593","   28","   70","   59","   10","   59","    6","    4","  608","   17","    4","  760","    8"," 4204","   10"," 3732","   11","  588","    9","   33"," 1841","   76","    4"," 1527","   19","  199","    3"
"M00052.Pyrimidine.ribonucleotide.biosynthesis..UMP....UDP.UTP.CDP.CTP","  276","  651","  386"," 1537","  221","  508","  100","  890","55525","76216","   77","   90","  202","   10","   24","   46","   32","   25","   21","    6","    6","  542","   18","   70","  147","  786","    6","  197","   26","    4"," 2225","   12","  710","    2","13799"," 1098","    8","  894","  997","    2","  737","  753","  347","  823","   51","  530","  448","   82","   85","   11","   16"," 1748","   33","   18"," 1944","   14","42952","   33"," 1351","    5","  451","   26","    8"," 1643","  205","    3"," 1798","   78","  426","    1"
"M00053.Deoxyribonucleotide.biosynthesis..ADP.GDP.CDP.UDP....dATP.dGTP.dCTP.dUTP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00055.N.glycan.precursor.biosynthesis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
